μ1,μ2,μ3,μ4,μ5,μ6
24.999999999999993,49.99999999999993,83.56481481481444,132.71604938271534,203.28575102880174,388.53523662549486
180.3,99.85,90.3,149.5,247.85,460.75
170.65,142.85,140.05,160.55,279.65,442.3
166.9,139.85,135.45,180.6,237.9,469.35
168.85,144.65,142.95,176.55,258.95,473.7
175.7,145.25,162.25,174.8,248.2,482.2
175.1,128.5,133.15,172.2,259.95,460.35
184.05,155.8,150.85,177.7,240.95,470.65
164.35,154.55,156.65,184.4,261.6,457.55
177.5,138.15,133.85,182.55,255.6,441.0
177.6,166.3,133.85,187.05,248.5,443.65
165.9,148.3,139.05,183.55,262.9,444.6
160.55,146.95,151.4,178.25,251.25,486.6
172.4,156.7,145.45,177.35,266.9,460.75
167.7,147.0,157.15,172.95,262.65,467.95
160.75,148.2,142.65,182.9,257.35,464.85
166.05,140.8,149.6,175.6,254.0,460.15
172.8,169.3,152.8,171.1,252.9,473.8
178.85,149.05,149.25,167.85,248.95,461.4
180.3,126.1,145.6,165.2,246.0,442.4
168.75,133.65,127.5,167.55,241.45,473.75
171.45,126.45,151.5,180.15,251.5,478.6
176.75,162.65,160.05,160.35,256.7,438.8
181.5,161.1,143.9,186.25,255.75,451.05
186.9,149.7,128.95,180.95,233.2,473.25
173.7,143.0,139.9,180.6,252.75,483.2
185.5,149.15,155.8,186.25,242.6,467.6
172.95,159.85,134.9,179.2,263.1,459.5
153.05,148.6,148.6,176.35,245.0,469.55
161.25,132.75,155.05,174.15,242.15,470.1
168.6,159.0,143.15,186.75,259.35,452.6
189.15,136.4,151.8,175.05,235.15,457.25
167.6,137.35,136.3,181.65,249.0,446.6
181.2,125.35,148.85,171.3,254.3,452.5
188.7,158.4,145.65,172.35,248.0,463.55
160.65,162.0,146.7,183.5,250.6,495.45
166.6,170.25,150.4,190.9,245.2,453.85
171.55,144.9,143.85,185.35,258.35,445.15
171.0,145.15,130.85,173.3,240.4,453.45
166.95,141.6,139.85,187.75,248.85,467.7
173.15,154.05,151.25,168.1,242.25,455.95
159.9,174.85,137.45,179.6,260.45,448.95
180.65,144.45,138.55,176.4,235.9,441.4
165.8,154.45,152.9,189.25,255.0,442.05
175.7,142.8,131.6,189.55,250.3,441.75
148.25,165.0,156.1,167.05,261.5,438.7
167.15,153.9,128.5,181.8,267.95,458.15
185.55,134.7,150.15,195.05,263.85,459.9
166.7,147.8,138.05,182.3,260.5,440.5
191.25,146.55,136.3,181.2,253.1,458.4
171.4,155.2,154.4,185.7,248.0,461.8
166.05,142.7,139.65,173.5,247.9,437.15
171.75,132.85,146.95,183.7,254.5,468.0
184.15,137.15,169.55,179.3,251.8,456.35
159.4,158.05,166.1,174.65,254.75,459.35
175.15,146.85,153.15,179.7,262.45,435.5
195.0,144.35,148.75,170.45,255.85,441.4
187.65,143.3,159.1,171.5,240.8,456.1
172.9,146.9,145.4,180.9,258.95,457.95
200.95,156.9,152.55,162.15,246.55,461.75
182.75,148.35,137.9,194.35,258.6,446.95
168.45,136.9,148.15,171.45,254.25,466.45
160.85,151.55,154.95,182.25,255.45,449.35
168.8,140.6,143.75,200.15,260.8,433.05
167.4,158.8,148.65,188.7,262.35,467.05
175.6,150.35,156.45,172.75,250.7,461.85
172.8,160.0,151.55,179.8,242.8,458.7
160.85,150.75,158.7,196.8,260.4,441.55
181.0,149.4,136.45,165.2,250.15,442.2
168.3,142.0,160.05,178.9,244.8,457.75
164.0,140.4,147.45,172.65,255.5,460.85
184.8,155.05,137.35,182.5,247.55,469.8
177.75,151.2,146.05,189.25,249.8,454.15
180.1,138.1,135.55,174.85,244.0,464.55
172.65,122.55,145.2,180.65,243.45,454.35
165.4,160.05,157.05,187.2,248.1,466.05
164.3,139.9,133.7,176.05,265.85,465.7
183.55,140.4,143.5,173.4,249.75,464.6
174.85,134.1,151.5,183.8,247.9,475.45
186.55,144.45,159.2,187.15,259.75,453.45
183.35,151.1,140.25,168.5,255.9,453.5
174.85,157.4,162.7,183.6,253.6,476.25
157.35,145.25,149.15,180.2,248.6,462.15
156.95,143.1,132.0,168.7,251.4,466.15
163.05,169.95,152.35,180.7,246.4,475.4
159.55,132.8,153.3,184.3,266.1,444.1
154.6,133.65,139.75,180.35,259.45,457.35
191.6,137.0,134.6,176.15,259.7,451.6
163.3,142.85,144.9,180.5,254.4,464.8
170.0,155.45,154.55,174.15,246.9,461.35
159.55,140.2,122.3,188.65,256.9,453.15
171.5,170.0,150.4,177.6,255.9,490.35
191.0,155.5,125.6,182.9,248.0,464.05
155.55,136.9,138.95,162.85,252.35,452.5
184.4,161.95,136.0,175.65,252.7,446.1
184.2,154.95,165.75,184.85,243.15,451.1
187.7,146.9,146.25,186.0,268.15,451.9
196.65,140.3,148.1,182.35,249.6,467.3
212.5,135.0,139.6,185.6,246.2,460.15
174.75,141.5,141.15,172.9,248.85,444.65
